experiment_mode,seed,delta,filter,failed,failure_message,number_of_updates,final_time,armse_post_update,mean_nees,median_nees,mean_nis,median_nis,mean_covariance_trace,median_covariance_trace,mean_covariance_condition,median_covariance_condition,mean_iterations_used,max_iterations_used,mean_roundtrip_relative_error,max_roundtrip_relative_error,measurement_model,state_dimension,measurement_dimension
fixed_updates,1199,0.2,SR-EKF,0,,5,1.0,1.1698823648017933,1102268.479433846,619443.0678926357,887246.3734236981,40330.172718664275,2.5748951567237764e-06,2.130280213176642e-06,8.295837365935515,4.389756740677448,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1199,0.2,IDEKF,0,,5,1.0,0.7182026485607601,552090.336948036,448417.5436951773,121685.09053200569,6536.465441611445,1.3392216443404605e-05,1.60902623505117e-05,20.94592758144757,21.01227280506213,5.0,5,2.7712822207507908e-17,1.022608721305419e-16,nonlin_cubic,2,2
fixed_updates,1200,0.2,EKF,0,,5,1.0,2.1365248878143586,6969953.327332939,5011425.303510943,496473419343.098,2478140.8300724537,3.034499095734313e-06,1.625079361995056e-06,2.8740723409359603,1.7161009925125963,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1200,0.2,SR-EKF,0,,5,1.0,2.143445734950852,339319533.7583157,8187823.024388847,496458201807.7251,2478140.8300726376,1.6084326684202148e-06,1.3525468940320672e-06,2573.767746555311,1.716100992512589,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1200,0.2,IDEKF,0,,5,1.0,3.3378071087831223,13101981.058065016,4971238.328460771,1319806.7304437417,193445.5034751227,5.937222915152138e-06,3.332284509268844e-06,9.89251078900158,3.071526202950836,5.0,5,4.080914037093064e-17,1.4642078352405796e-16,nonlin_cubic,2,2
fixed_updates,1001,0.7,EKF,0,,5,3.5,4.103016279751971,12020985.97990635,7982313.490961458,19652313832249.508,163434.99793429166,1.089990054360839e-05,2.374971563628399e-06,20.516824726160344,4.302243482250847,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1001,0.7,SR-EKF,0,,5,3.5,3.4152046728383856,11995983895.20005,5879672082.241396,21463112253901.67,3564485508473.1055,6.19797873398933e-06,1.2913680257336535e-06,6712.561607526217,8635.385432712581,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1001,0.7,IDEKF,0,,5,3.5,3.753344806271979,18060684.057888217,9865844.034532815,67496449270751.4,652879.3146699453,5.5627369135054446e-06,1.662201368046624e-06,10.675341149558701,2.4699357161461433,5.0,5,5.6716184210922945e-18,2.835809210546147e-17,nonlin_cubic,2,2
fixed_updates,1002,0.7,EKF,0,,5,3.5,3.185754090020905,11373115.88852476,10379881.727488937,8179122816817.33,95254.25042921446,8.386894604899504e-06,8.896533727752984e-06,8.447869375351967,8.370846009117228,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1002,0.7,SR-EKF,0,,5,3.5,3.7288164491857794,29027782205.78896,11538003018.687841,407866593916581.25,6483723573881.793,4.8576119742603495e-06,1.3138228708668588e-06,7530.330074726737,11583.855136184473,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1002,0.7,IDEKF,0,,5,3.5,5.3438970458832635,157089694.72516292,24206019.44005509,348895996885030.9,6545971.078433116,7.102239684610331e-06,2.8367258650655366e-06,26.453118942536328,3.9574986982650784,5.0,5,1.822627933665888e-17,9.11313966832944e-17,nonlin_cubic,2,2
