seed,delta,case,measurement,sigma,Rmode,metric,include_initial,truth_noise,truth_qscale,P0_scale,x0_perturb,EKF_armse,EKF_time,EKF_failed,EKF_failure_message,SR-EKF_armse,SR-EKF_time,SR-EKF_failed,SR-EKF_failure_message,IDEKF_armse,IDEKF_time,IDEKF_failed,IDEKF_failure_message,SR_minus_IDEKF,IDEKF_percent_improvement_over_SR,IDEKF_beats_SR,EKF_minus_IDEKF
38,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,1.37279263818,1.44667516701,0,,0.283988082708,1.30699470901,0,,1.9034260404,1.32533683401,0,,-1.61943795769,-570.24856193,0,-0.530633402218
39,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.289969208999,1.30879925005,0,,0.266470487599,1.30528641702,0,,1.9543335959,1.26822020899,0,,-1.6878631083,-633.41465072,0,-1.6643643869
40,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,13.3995345771,1.82375779201,0,,0.303528547949,1.42987712502,0,,0.33139224799,1.39489333297,0,,-0.0278637000404,-9.17992730129,0,13.0681423291
41,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.458421117764,1.59026270901,0,,0.342329433236,1.76407970901,0,,0.541753171199,1.28542241704,0,,-0.199423737962,-58.2549201444,0,-0.0833320534343
42,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,1.55152147853,1.92008625,0,,0.301344084025,1.647719834,0,,12.7282394181,1.74391825002,0,,-12.4268953341,-4123.8225646,0,-11.1767179396
43,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.625950666603,1.44211275002,0,,0.401265573618,1.41075387498,0,,0.349784375841,1.33105162502,0,,0.0514811977768,12.8297070971,1,0.276166290762
44,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,24.9359039747,1.87682762503,0,,0.317160647875,1.34144837497,0,,1.96328697487,1.21776733402,0,,-1.64612632699,-519.019726446,0,22.9726169998
45,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.886173102565,1.49673833296,0,,0.318482956374,1.36206116702,0,,0.318015325081,1.31381066702,0,,0.000467631292476,0.146830869005,1,0.568157777483
46,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.328581198164,1.56864300004,0,,0.30502706901,1.46534087497,0,,2.08486279987,1.490273125,0,,-1.77983573086,-583.500912439,0,-1.7562816017
47,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.483253242225,1.36025912501,0,,0.345412121162,1.37628891697,0,,0.327775150776,1.24615362502,0,,0.0176369703858,5.10606585734,1,0.155478091449
48,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,3.00726589551,1.53405762499,0,,0.314165459824,1.33677737502,0,,0.321948370121,1.239981875,0,,-0.00778291029634,-2.47732844364,0,2.68531752539
49,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.326921999345,1.26728066697,0,,0.29691414132,1.36987508298,0,,0.864262772542,1.42916841595,0,,-0.567348631222,-191.081714296,0,-0.537340773197
50,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,1.2680838917,1.409839292,0,,0.283268066795,1.33463608398,0,,1.52992067257,1.22832991602,0,,-1.24665260577,-440.096414635,0,-0.261836780867
51,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.356891798976,1.31809620903,0,,0.340931823997,1.43001529202,0,,0.357290703261,1.28783937497,0,,-0.0163588792647,-4.79828461682,0,-0.000398904284965
52,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,8.24061668094,1.63002591598,0,,0.354811578647,1.35831295798,0,,2.27532457601,1.41573645797,0,,-1.92051299737,-541.276867202,0,5.96529210492
53,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,2.0903281077,1.40213562496,0,,0.346741320742,1.42928616598,0,,0.687178700193,1.29623470898,0,,-0.340437379452,-98.1819469117,0,1.4031494075
54,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.358394282493,1.26198512502,0,,0.305192577388,1.32365883299,0,,4.85475461485,1.531130708,0,,-4.54956203746,-1490.71844289,0,-4.49636033236
55,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,2.54616920567,1.63829887495,0,,0.289386865166,1.35380808299,0,,2.4980422548,1.37422408297,0,,-2.20865538963,-763.218948573,0,0.0481269508768
56,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,1.78594382294,1.56870870799,0,,0.313912813521,1.38848241698,0,,0.345485900495,1.24930779199,0,,-0.0315730869743,-10.0579159608,0,1.44045792244
57,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.373371345262,2.06473429198,0,,0.324610590463,1.99007291603,0,,0.332702434064,1.664471542,0,,-0.00809184360151,-2.49278484413,0,0.0406689111971
58,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,1.60085226483,1.31617591705,0,,0.360302468905,1.63574979099,0,,0.31621633375,1.29658137501,0,,0.0440861351548,12.2358681829,1,1.28463593108
59,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.785829536976,1.37543333299,0,,0.295691743633,1.29313154204,0,,0.297732899193,1.22333870799,0,,-0.00204115555973,-0.690298462396,0,0.488096637784
60,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,1.26421152111,1.37202054198,0,,0.28665594588,1.33706579101,0,,1.7803847202,1.55393579201,0,,-1.49372877432,-521.087664775,0,-0.516173199099
61,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.566383041887,1.293445791,0,,0.325195197324,1.34637470799,0,,1.68688540833,1.48624150001,0,,-1.361690211,-418.730111087,0,-1.12050236644
62,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,5.03320546019,1.54240491695,0,,0.28883163451,1.31730633299,0,,1.59740166103,1.31258562498,0,,-1.30857002652,-453.056338076,0,3.43580379917
63,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,7.37336255433,1.63588933396,0,,0.324377262681,1.48258533404,0,,1.67917716788,1.76005037501,0,,-1.3547999052,-417.661797254,0,5.69418538645
64,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.361430539477,1.26475758298,0,,0.362621331762,1.340405458,0,,0.32315026714,1.22728237504,0,,0.0394710646221,10.8849262757,1,0.0382802723376
65,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,1.97182082349,1.31759337499,0,,0.358237813568,1.34790320799,0,,0.303954789032,1.25424504199,0,,0.054283024536,15.1527902639,1,1.66786603446
66,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,1.47619625633,1.53857308399,0,,0.317435595315,1.38121849997,0,,1.07335745401,1.28552325,0,,-0.755921858691,-238.13393011,0,0.402838802328
67,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.380884533415,1.36858183297,0,,0.298957354804,1.36030391703,0,,0.328793214129,1.267632542,0,,-0.0298358593247,-9.97997167329,0,0.0520913192855
68,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.407112945187,1.28033204196,0,,0.298169335062,1.616446417,0,,2.22840898799,1.52066608297,0,,-1.93023965293,-647.363570276,0,-1.8212960428
69,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.31308395344,1.29947366699,0,,0.286196129594,1.35354166699,0,,0.280962459504,1.24709191598,0,,0.00523367009011,1.82870051301,1,0.0321214939358
70,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.286520774871,1.25183612498,0,,0.282526017331,1.47262408299,0,,0.577390306415,1.352021,0,,-0.294864289084,-104.367127626,0,-0.290869531544
71,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.395579329431,1.41802112496,0,,0.29870107339,1.32413699996,0,,0.31837387221,1.25835158402,0,,-0.0196727988201,-6.58611587726,0,0.0772054572213
72,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,3.12348045176,1.57676304196,0,,0.284248102639,1.40057020902,0,,1.53164793909,1.24206104199,0,,-1.24739983646,-438.841921855,0,1.59183251267
73,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,10.9008345915,1.71705149999,0,,0.306406255289,1.35832679103,0,,0.312394171147,1.32063362497,0,,-0.00598791585806,-1.95424073585,0,10.5884404204
74,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.33690892072,1.35464245797,0,,0.307150361972,1.41942425002,0,,2.17213131098,1.38363433297,0,,-1.86498094901,-607.18826344,0,-1.83522239026
75,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,2.18025342575,1.63015937497,0,,0.358574571627,1.28470491699,0,,0.362963605146,1.33732087497,0,,-0.00438903351881,-1.2240225231,0,1.8172898206
76,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.354457026667,1.3148925,0,,0.331387172778,1.33024812501,0,,0.327981703049,1.28737170802,0,,0.00340546972872,1.02764078047,1,0.0264753236184
77,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.295325461494,1.27981799998,0,,0.288602963267,1.31281416601,0,,0.291859312946,1.22670595895,0,,-0.00325634967846,-1.12831470668,0,0.00346614854885
78,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.334994782416,1.28283829201,0,,0.331685924151,1.37453325,0,,2.34139670264,1.41466379102,0,,-2.00971077849,-605.907767608,0,-2.00640192022
79,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.533332423782,1.396614792,0,,0.285676554484,1.30976733303,0,,0.626012147975,1.27539158298,0,,-0.340335593492,-119.133190369,0,-0.0926797241931
80,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,1.20016367033,1.48660204199,0,,0.823504974956,1.40601112501,0,,0.317127296745,1.22644570802,0,,0.506377678211,61.4905426939,1,0.883036373586
