split,delta,filter,runs,failures,mean_ARMSE,median_ARMSE,ARMSE_90,ARMSE_95,mean_predicted_ARMSE,mean_posterior_NEES,median_posterior_NEES,mean_predicted_NEES,mean_NIS,strong_direction_RMSE,weak_direction_RMSE,mean_strong_variance,mean_weak_variance,mean_trace_contraction,mean_whitened_H_condition,mean_information_condition,mean_correction_norm
validation,0.1,ID_p1_r1_w1_post1,50,0,843060.0160786365,2.443482365305015,6.392858182419042,88.60382522521004,769778.6152301807,37002344580398.95,20907.51575608891,28105468712597.234,395735677385.02655,4.75986243060198,843059.3665880067,0.00015713593954584413,74.19334980498235,0.8498670004902441,10674134.44198841,192220859538423.56,104197.32989305383
validation,0.1,ID_p1_r1_w1_post3,50,0,474486.0325527667,3.206679214922297,164885.13901594115,2531227.546801169,370884.09468489484,41574488689493.57,4083.6701493524806,73896634559307.77,92530221690.50209,6.788318498596773,474485.1409650368,0.0007215529162765261,1339.2566282568462,1.5016777396773937,8745282.324683743,900906223517134.2,116110.14458359353
validation,0.1,ID_p1_r2_w0_post1,50,0,123.01614590160885,1.9729961475040558,3.6480639765626957,4.115786014357264,183.35940443278957,2.0333048509944682e+17,53371.15552035219,144718742095.99112,14920803.960822275,86.55103005157862,87.3510538682811,6.930600447593353e-05,0.00010778108437130652,0.8415454684525703,11099802712.288208,169125745475384.75,13.796576120688572
validation,0.1,ID_p1_r2_w0_post3,50,0,3.487356754193371,2.673566370967211,6.28269499384098,9.174256501923058,2.698690267304664,56575156940.845436,23392.652007502616,169723390346.87445,334901.1642452018,2.2717278387721827,2.469313926829748,0.0010369054972388513,0.00021746604491989268,1.5781393905203729,99061.64232679298,47361763396.257126,1.0520689698315433
validation,0.1,ID_p1_r2_w10_post1,50,0,2702785.765318306,3.6780202169689336,12012151.485598981,12604465.988325423,2643284.315968959,6656386551430.512,6794.290314113063,35529103440925.51,659706624070.5989,9.533137423916735,2702785.272750195,0.0003701056574797187,2323.9490621569225,2.4353006236295722,11517817.225253243,1127768811979387.5,572631.5155628321
validation,0.1,ID_p1_r2_w10_post3,50,0,1248787.3345192343,1366712.6069867702,2326917.101165524,2552151.713337768,1194453.729766408,929819669194.7397,46625.59744654267,8792696083443.805,91024991456.31403,13.894509778154836,1248787.1538133533,0.0009764013875949148,19238.394891221527,5.867005620817773,16855891.802806653,1229585547242177.0,362777.61229839525
validation,0.1,ID_p1_r2_w1_post1,50,0,938103.7686239044,2.5785786033741562,5.5620721582330885,26.731880597102627,820259.9731589244,5245938396868.234,11956.473480050403,5320496388493.088,534415796608.2085,3.0651024584862894,938103.2062413207,0.0002953506130048269,105.00602052583261,0.8383094876066082,2400228.7259045406,771879952808877.2,129975.79182841562
validation,0.1,ID_p1_r2_w1_post3,50,0,767965.2032283997,3.114347414318581,2401497.5720958244,5921466.178466843,737168.2709342341,926306003197.805,3212.9720499798814,5154973453451.14,95706564052.3072,5.389680908199048,767964.3932393795,0.001378673851699536,2837.912385989051,1.6061303718975075,4706817.417513105,677002079486504.0,183250.84582025922
validation,0.1,ID_p3_r0.5_w0_post1,50,0,3.3884856559209253,2.7028474553970154,6.368440703483063,7.952331977361386,2.7591716248696527,75434999745.27234,38480.374471629366,226276772284.2501,455071.0819104661,2.2876750350186583,2.3334901219827735,0.00010534991072828757,4.455083866691838e-05,1.3945494044409932,104551.71903941064,51915337929.91807,1.2476932176400255
validation,0.1,ID_p3_r0.5_w0_post3,50,0,3.7247485430531504,2.780189087036623,7.424638192869096,7.684563061647672,3.232312009665967,31907854302.421524,15564.88255162763,286919556017.9811,480496.5069753179,2.538061101701122,2.536524602806783,0.0003779895817759587,0.00013967130057854855,2.5630144411733027,157645.02860025183,214414722489.2341,1.4627137355572521
