split,seed,delta,filter,failed,failure_message,posterior_ARMSE,predicted_ARMSE,mean_posterior_NEES,median_posterior_NEES,mean_predicted_NEES,mean_NIS,strong_direction_RMSE,weak_direction_RMSE,mean_strong_variance,mean_weak_variance,mean_trace_contraction,mean_whitened_H_condition,mean_information_condition,mean_correction_norm,name,prior_scale,r_scale,weak_inflation,posterior_scale
tuning,4021,0.1,ID_p10_r1_w1_post3,0,,623842.682533463,623842.4253930845,4388947002834.112,841200.803875157,4400486387440.01,468026667098.03827,24.238183531508213,623842.6820625996,0.00027800166277790704,16798.45698097767,4.136923614869973,33289490.060218167,1940617291939907.2,249270.13136246125,ID_p10_r1_w1_post3,10.0,1.0,1.0,3.0
tuning,4021,0.1,ID_p10_r1_w10_post1,0,,834740.8446150394,807679.7533433428,36447665182729.11,198111740099.05276,35965178310938.95,3870413539134.849,60.6547247800563,834740.8424113641,3.5846701650895875e-05,8768.167752858779,4.242298709948314,201067347.62600434,4977993819571745.0,380115.8564753052,ID_p10_r1_w10_post1,10.0,1.0,10.0,1.0
tuning,4021,0.1,ID_p10_r1_w10_post3,0,,192883.58229282917,192725.7576756968,1428091635459.267,181890761.02617127,1439246572164.5317,140379199101.29126,22.116565488839893,192883.58102485587,0.00017276756395035554,27131.432411724796,13.693288232166541,27877041.61352081,2752158345954057.5,102135.07039416011,ID_p10_r1_w10_post3,10.0,1.0,10.0,3.0
tuning,4021,0.1,ID_p10_r2_w0_post1,0,,2.3210058509199465,2.5286987668238785,34186087991.018013,8829.224173244846,341860867398.7546,205345.55046947784,0.8281829915102199,2.168220720447484,0.0002702599643341817,0.00016707993861511235,2.5744860114976342,80382.32827767768,8067787635.407465,0.7038014389733154,ID_p10_r2_w0_post1,10.0,2.0,0.0,1.0
tuning,4021,0.1,ID_p10_r2_w0_post3,0,,2.6878691098944993,2.8908753870187227,4879965275.896418,4813.947213384944,146398588979.46616,17660.987307897944,1.3756580184149612,2.309156852250551,0.0007788826805856154,0.0003964929115925531,4.648841389204007,113172.79790731453,20307890805.494717,1.2773452697394325,ID_p10_r2_w0_post3,10.0,2.0,0.0,3.0
tuning,4021,0.1,ID_p10_r2_w1_post1,0,,2376630.0584677747,2344609.8838921175,3893100247873.729,5183926198.087124,37622447613438.36,353869971014.4369,26.007165243932658,2376630.058325478,6.456366554540236e-05,12052.924945331333,1.8627659700939976,35813139.58716685,2555006031705245.5,1103308.0291906814,ID_p10_r2_w1_post1,10.0,2.0,1.0,1.0
tuning,4021,0.1,ID_p10_r2_w1_post3,0,,3.0254017523643535,3.113874097677556,35356.49104155366,2980.316548272122,361351040444.3813,125793.6492266225,2.0165828596636928,2.2553157945883995,0.0011043279663173766,10.854070295913427,17.19393169507347,98805.54435851473,19218015304.75573,1.266201316584228,ID_p10_r2_w1_post3,10.0,2.0,1.0,3.0
tuning,4021,0.1,ID_p10_r2_w10_post1,0,,608130.3655540805,568316.8106224523,3686622398116.4194,35000534.87899597,3569626430429.6523,374662147213.5195,28.073162626378437,608130.3649061088,0.00010399003534308833,13817.106925156626,7.125799093284208,43610622.45727408,2624980617140386.0,217596.11150198377,ID_p10_r2_w10_post1,10.0,2.0,10.0,1.0
tuning,4021,0.1,ID_p10_r2_w10_post3,0,,269062.39929750643,256981.74708857972,8209919278872.494,72972096483.72188,8311436250554.7295,898348121053.7233,70.43462339564424,269062.39007838804,3.285153866429058e-05,51785.37100629507,14.912250855607471,270738783.70293313,4451663979297637.5,149561.07734613365,ID_p10_r2_w10_post3,10.0,2.0,10.0,3.0
tuning,4022,0.1,SR-EKF,0,,5.827502290195982,1.51665027156154,2268581.283867567,91589.89022485664,10957109.345520321,160287.5973633718,4.596427354186167,3.582267231786118,6.213940010181251e-06,6.658601860157101e-06,0.39760514338773395,54802.5821587567,3566299969.6320686,2.12339293101581,,,,,
