split,delta,candidate,paired_runs,mean_SR_minus_candidate,median_SR_minus_candidate,bootstrap_95_low,bootstrap_95_high,candidate_win_rate,sign_flip_p,wilcoxon_p
tuning,0.2,ID_p3_r2_w10_post1,30,-600913.370330002,-6187.538863271023,-1054056.7474662694,-224959.8400546985,0.13333333333333333,1.0,0.9999995008111
tuning,0.2,ID_p3_r2_w10_post3,30,-510022.355044658,-402369.97234445286,-690524.9192226424,-336621.7368784204,0.1,1.0,0.9999999767169356
tuning,0.2,ID_p3_r2_w1_post1,30,-605322.9129006857,-0.8786036126049801,-1815966.8149369524,-0.6021733091213911,0.26666666666666666,0.9981000949952502,0.9985064994543791
tuning,0.2,ID_p3_r2_w1_post3,30,-383871.76749572967,-1.1291240376778071,-789945.5322704143,-59837.00209396248,0.16666666666666666,1.0,0.9999720370396972
validation,0.1,ID_baseline,50,0.8460158776976402,0.5636181778894278,0.07354722469698358,1.5992187311575976,0.64,0.01784910754462277,0.001448155120169936
validation,0.1,ID_p10_r0.5_w0_post1,50,-107841.4937150882,-0.6070749295034549,-323523.347887306,-0.27707128103490314,0.34,0.992150392480376,0.9899396781827186
validation,0.1,ID_p10_r0.5_w0_post3,50,-1.0780744286190866,-1.2597174778365683,-1.7360829918522906,-0.44852158517448243,0.32,0.9990000499975001,0.9990787332787949
validation,0.1,ID_p10_r0.5_w10_post1,50,-622841.7502408763,-609154.244106795,-760619.9661377395,-515248.92015785037,0.0,1.0,1.0
validation,0.1,ID_p10_r0.5_w10_post3,50,-206501.60892155868,-214144.03197622322,-221332.1652366683,-190086.15465749067,0.0,1.0,1.0
validation,0.1,ID_p10_r0.5_w1_post1,50,-973457.2531934574,-4.474961667672052,-1359087.215295381,-626954.4203078115,0.14,1.0,0.9999999995107434
validation,0.1,ID_p10_r0.5_w1_post3,50,-405044.97140763677,-415949.63543309376,-509994.93440524035,-310743.6306085651,0.02,1.0,0.9999999999999778
validation,0.1,ID_p10_r1_w0_post1,50,-0.6983554037789689,-0.7561871570467832,-1.3826778918130203,-0.03874946218070528,0.36,0.9767511624418779,0.9831561030772038
validation,0.1,ID_p10_r1_w0_post3,50,-1.0357167009879498,-1.4487101055013536,-1.6722294264670996,-0.4071530060325704,0.32,0.9991500424978751,0.998780031226504
validation,0.1,ID_p10_r1_w10_post1,50,-600317.1436702203,-596961.5578314249,-651985.3137476757,-541538.131605745,0.0,1.0,1.0
validation,0.1,ID_p10_r1_w10_post3,50,-215635.37094168636,-219776.98455548676,-230281.45738039233,-199774.4320209847,0.02,1.0,0.9999999999999991
